DS_SHORT_NAME,DS_URL_TYPE,DS_URL,DS_URL_COMMENTS,PERIOD_AVAIL,DP_DIR_PATH,DP_DIR_HOST,ENTERED
namcaps,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namcaps/NAMMA_Cloud_Microphysics_readme.txt,,,,,
namukatd,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/Lightning-UK_ATD/data/,,All,/ftp/public/namma/Lightning-UK_ATD/data/,GHRC-FC02,
namzeus,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/Lightning-ZEUS/data/,,All,/ftp/public/namma/Lightning-ZEUS/data/,GHRC-FC02,
dc8capac,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/dc8capac/data/,,All,/ftp/public/camex3/dc8capac/data/,GHRC-FC02,
cmx3g8,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/cmx3g8/data/,,All,/ftp/public/camex3/cmx3g8/data/,GHRC-FC02,
amsua15sp,Current Browse by Channel,http://discover.itsc.uah.edu/amsutemps/AAT_Browse.php?chan=01&satnum=15&aord=a,,,,,
gpmpanoaamc3e,PI Documentation,ftp://gpm.nsstc.nasa.gov/gpm_validation/mc3e/disdrometers_and_gauges/parsivel_NOAA/doc/MC3E_NOAA_Parsivel_data.doc,Parsivel disdrometer data document,,,,13-Feb-13
gpmpanoaamc3e,Homepage,http://gpm.nsstc.nasa.gov/mc3e/,,,,,
namcobalt,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namcobalt/COBALT_NAMMA_readme.txt,,,,,
namdblue,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namdblue/Deep-Blue_Readme,,,,,
namdc8nav,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namdc8nav/DC8_Handbook-3.pdf,,,,,
namdc8nav,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namdc8nav/ICATS_appendix_2.pdf,,,,,
namdc8nav,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namdc8nav/icats_format_readme.txt,,,,,
namdrop,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namdrop/readme.NAMMA2006.radiosondes.pdf,,,,,
namdrop,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namdrop/TEMP_DROP_CODE.doc,,,,,
namhamsr,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namhamsr/HAMSR_hdf_data_description.pdf,,,,,
namhamsr,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namhamsr/NAMMA_instrument_status_HAMSR.xls,,,,,
namlarge,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namlarge/namma_large_APS_readme.txt,,,,,
namlarge,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namlarge/namma_large_CNC_readme.txt,,,,,
namlarge,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namlarge/namma_large_merge_README_V5.txt,,,,,
namlarge,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namlarge/namma_large_QC_NAV_readme.txt,,,,,
namlarge,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namlarge/namma_large_SUMMARY_readme.txt,,,,,
namlarge,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namlarge/namma_large_UHSAS_readme.txt,,,,,
namlase,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namlase/Gaines_Hipskind.pdf,,,,,
namlase,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namlase/read_lase_gh.c,,,,,
namnpol,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namnpol/makefile,,,,,
namnpol,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namnpol/netcdf2ascii.c,,,,,
namnpol,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namnpol/NPOL_NAMMA_Product_Documentation.pdf,,,,,
namradio,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namradio/namma_praia-radiosonde_20060728_1517Z_data_ascent.txt,,,,,
namradio,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namradio/namma_praia-radiosonde_20060728_1517Z_data_descent.txt,,,,,
namradio,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namradio/namma_praia-radiosonde_data_description.pdf,,,,,
namradio,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namradio/namma_praia-radiosonde_data_products.pdf,,,,,
c4dpr2,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dpr2/CAM4_user.doc,,,,,
c4dpr2,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dpr2/read_pr-2_lev1b_hdf.pro,,,,,
c4dvid,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dvid/C4flights.JPG,,,,,
c4eedop,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4eedop/EDOP_README,,,,,
c4eedop,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4eedop/software.tar,,,,,
